id;name;surname;gender;date_of_birth;year;hogsmeade_consent;house_id;dormitory_id
108;Trey;Bronson;M;2013-04-23;1;0;1;56
109;Summer;Block;F;2011-02-26;3;1;2;85
110;Edburga;Skillings;F;2011-09-21;3;1;2;45
111;August;Bray;M;2011-09-28;3;1;1;90
112;Wanda;Sammon;F;2012-01-15;2;0;2;19
113;Lois;Thubron;F;2011-12-24;3;1;1;35
114;Celia;Butterworth;F;2007-02-08;7;1;1;97
115;Lindsay;Crouch;F;2008-05-24;6;1;2;93
116;Kaden;Caple;M;2012-07-13;2;0;3;78
117;Courtney;Robbins;M;2008-07-27;6;1;1;16
118;Helen;Gable;F;2010-09-26;4;1;2;9
119;Janie;Edgar;F;2008-01-20;6;1;0;53
120;Maxwell;Tallents;M;2008-06-11;6;1;0;124
121;Lillie;Haselhurst;F;2007-07-14;7;1;1;89
122;Jacob;Piper;M;2008-05-09;6;1;1;60
123;Raleigh;Giffey;F;2013-12-31;1;0;1;71
124;Leonora;Daw;F;2007-02-17;7;1;3;43
125;Waylon;Vessey;M;2010-09-13;4;1;0;40
126;Maud;Mercer;F;2007-06-12;7;1;1;37
127;Walker;Delph;M;2012-12-16;2;0;3;34
128;Bianca;Pattison;F;2008-12-13;6;1;3;57
129;Iggy;Kraabel;M;2007-07-07;7;1;0;114
130;Ben;Rector;M;2013-01-21;1;0;1;64
131;Sydney;Marr;M;2008-02-03;6;1;3;62
132;Ash;Welden;F;2010-10-30;4;1;0;123
133;Brooklyn;Workman;F;2012-06-07;2;0;3;107
134;Lorena;Instone;F;2012-01-22;2;0;2;19
135;Lysette;Clyne;F;2013-12-05;1;0;2;45
136;Gage;Harrelson;M;2009-06-14;5;1;0;26
137;Tallulah;Wigg;F;2007-09-30;7;1;3;43
138;Robin;Evans;F;2009-08-18;5;1;2;73
139;Brooks;Mulgrew;M;2013-02-12;1;0;3;116
140;Russ;Padden;M;2007-03-30;7;1;2;108
141;Wally;Woods;M;2013-03-12;1;0;0;104
142;Larry;Pattison;M;2009-04-17;5;1;0;66
143;Eardwulf;Sadler;M;2012-09-14;2;0;0;104
144;Wilson;Hanchett;M;2010-11-06;4;1;1;98
145;Jaden;Threadgold;M;2007-11-10;7;1;1;44
146;Rathbone;Carling;M;2011-05-27;3;1;1;102
147;Jackie;Hartnell;M;2013-03-08;1;0;3;28
148;Merilyn;Wentworth;F;2009-08-17;5;1;0;31
149;Janet;Yabsley;F;2009-05-13;5;1;3;3
150;Darlene;Christie;F;2007-08-25;7;1;3;63
151;Vicky;Bywater;F;2007-03-05;7;1;2;1
152;Karen;Groover;F;2007-07-07;7;1;0;125
153;Chet;Entwistle;M;2010-06-03;4;1;1;16
154;Rembrandt;Lumpkins;M;2013-08-01;1;0;3;112
155;Charle;Lillard;F;2013-10-27;1;0;0;91
156;Charlotte;Masterson;F;2007-06-20;7;1;2;9
157;Merlin;Jewell;M;2013-08-12;1;0;0;46
158;Jeremy;Fletcher;M;2013-05-10;1;0;0;58
159;Bonnie;Krout;F;2012-10-02;2;0;3;57
160;Erika;Major;F;2012-04-24;2;0;0;79
161;Abel;Sampson;M;2013-09-13;1;0;1;78
162;Kelly;Dawber;M;2009-07-09;5;1;2;32
163;Aileen;Nealey;F;2007-09-26;7;1;2;63
164;Homer;Crittenden;M;2010-08-22;4;1;0;6
165;Olive;Kovachevich;F;2012-09-01;2;0;3;61
166;Chara;Furlong;F;2011-09-23;3;1;0;123
167;Jermaine;Baldwin;M;2009-01-10;5;1;3;100
168;Mac;Yarde;M;2008-09-04;6;0;3;62
169;Sharlene;Yeo;F;2009-04-24;5;1;1;35
170;Jana;De Mowbray;F;2013-02-07;1;0;1;77
171;Kelsey;Noyce;M;2007-02-01;7;1;1;86
172;Lisa;Doncaster;F;2008-10-28;6;1;3;45
173;Allyson;Price;F;2013-12-11;1;0;0;111
174;Aurora;Titcombe;F;2013-11-09;1;0;1;15
175;Leonard;Joseph;M;2007-03-23;7;1;1;110
176;Cade;Book;M;2010-10-20;4;1;2;8
177;Bianca;Pollock;F;2012-11-19;2;0;0;11
178;Austen;Brickey;M;2009-05-11;5;1;2;90
179;Cody;Knapp;M;2008-12-28;6;1;1;14
180;Riley;Phoenix;F;2011-05-04;3;1;0;75
181;Lindor;Tittle;M;2012-01-25;2;0;2;22
182;Napoleon;Souttar;M;2012-06-21;2;0;0;36
183;Norman;Lowe;M;2010-02-04;4;1;3;24
184;Harmony;Rainforth;F;2009-02-17;5;1;1;67
185;Elmo;Mott;M;2010-01-03;4;1;3;44
186;Phineas;Spooner;M;2008-09-19;6;1;3;102
187;Nettie;Willard;F;2008-01-05;6;1;3;93
188;Zephaniah;Ruggles-Brise;M;2009-12-27;5;1;1;94
189;Cletus;Bayntun;M;2013-05-31;1;0;3;78
190;Joel;Pryde;M;2012-12-26;2;0;1;110
191;Dorothy;Linnell;F;2008-04-26;6;0;0;77
192;Tabitha;Crosbie;F;2010-07-17;4;1;3;79
193;Cassandra;Dodd;F;2013-08-20;1;0;1;77
194;Tori;Yeager;F;2013-06-15;1;0;1;111
195;Jonty;Giltrap;M;2009-05-12;5;1;0;20
196;Mitchell;Starkey;M;2012-07-12;2;0;1;16
197;Rex;Beckinsale;M;2010-02-09;4;1;3;108
198;Becki;Blakely;F;2011-01-12;3;1;1;95
199;Minnie;Sparrow;F;2011-09-08;3;1;0;63
200;Tanner;Hefley;M;2009-01-11;5;1;1;20
201;Ritchie;Isley;M;2008-02-13;6;1;3;116
202;Willy;Brackenbury;M;2013-06-05;1;0;1;18
203;Palmer;Dolehide;M;2007-12-19;7;1;2;94
204;Alanna;Lowitt;F;2008-12-06;6;0;3;109
205;Charla;Swaine;F;2011-03-23;3;1;3;119
206;Kim;Harrington;F;2009-12-05;5;1;0;45
207;Madeleine;Harry;F;2008-04-11;6;1;1;105
208;Myra;Hopkin;F;2011-02-16;3;1;0;67
209;Ronnie;Mayne;M;2013-09-05;1;0;2;120
210;Tucker;Amesbury;M;2013-10-18;1;0;3;54
211;Anthony;Axford;M;2013-11-23;1;0;2;34
212;Gwendolyn;Bingley;F;2010-09-19;4;1;1;99
213;Tommie;Werkheiser;M;2010-04-15;4;1;0;64
214;Dexter;Neal;M;2011-07-13;3;1;3;58
215;Josh;Blackburn;M;2011-10-01;3;1;3;6
216;Robert;Blakely;M;2010-06-12;4;1;2;50
217;Orlando;Hancox;M;2012-06-30;2;0;3;84
218;Joyce;Hodgson;F;2010-05-19;4;1;2;15
219;Julian;MacAuliffe;M;2008-12-25;6;1;1;2
220;Kristy;Merritt;F;2011-12-22;3;1;1;9
221;Mable;Blakely;F;2013-11-15;1;0;3;41
222;Tyra;Winmill;F;2007-02-21;7;1;3;33
223;Charlie;Cavendish;F;2008-10-16;6;0;3;103
224;Helene;Dilley;F;2012-06-13;2;0;0;67
225;Stetson;Benge;M;2013-06-22;1;0;2;70
226;Laurel;Eakin;F;2011-02-01;3;1;1;53
227;Rex;Attrill;M;2011-11-09;3;1;2;96
228;Gertie;Dering;F;2008-09-07;6;1;2;13
229;Lucy;Drewry;F;2009-03-09;5;1;1;81
230;Jessie;Pendelton;F;2009-09-04;5;1;3;29
231;Eileen;Duddridge;F;2009-02-25;5;1;0;19
232;Lorraine;Burrows;F;2009-05-13;5;1;0;61
233;Chester;Clewer;M;2009-10-03;5;1;0;116
234;Georgina;Gillies;F;2008-10-30;6;1;0;67
235;Jenny;Woghere;F;2007-12-12;7;1;1;117
236;Samson;Painter;M;2012-01-07;2;0;1;4
237;Valmai;Boner;F;2009-04-05;5;1;3;1
238;Ingrid;Goff;F;2009-03-09;5;1;3;121
239;Val;Sharrock;F;2009-03-02;5;1;1;35
240;Dan;Monyn;M;2008-01-10;6;0;0;104
241;Martin;Greenfield;M;2010-03-24;4;0;2;16
242;Cameron;Wolryche;M;2009-02-10;5;1;0;66
243;Beatrix;Bramble;F;2012-06-15;2;0;3;11
244;Roderick;Boakye-Yiadom;M;2007-07-01;7;1;1;100
245;Darla;Butterfill;F;2007-07-01;7;1;3;65
246;Dirk;Bowater;M;2012-05-09;2;0;3;12
247;Stacy;Cook;F;2008-04-11;6;1;0;119
248;Mila;Yeakel;F;2009-09-19;5;1;3;31
249;Julia;Lampkin;F;2007-12-24;7;1;2;79
250;Aileen;Engleman;F;2010-05-18;4;1;0;31
251;Amber;Nihill;F;2012-04-23;2;0;1;63
252;Hero;Baskerville;F;2009-05-12;5;1;1;117
253;Ryder;Swain;M;2013-09-25;1;0;1;16
254;Abe;Habington;M;2013-03-02;1;0;2;26
255;Hodierna;Ritchie;F;2010-10-04;4;1;0;55
256;Aidan;Charman;M;2011-06-23;3;1;2;26
257;Magnolia;Verey;F;2009-05-22;5;1;2;81
258;Elora;Knickerbocker;F;2011-10-08;3;1;0;11
259;Opal;Lind;F;2009-06-10;5;1;0;89
260;Chas;Truss;F;2008-08-11;6;1;1;97
261;Frankie;Rogers;M;2007-10-31;7;1;2;100
262;Jason;Arterton;M;2009-08-29;5;1;1;22
263;Eugene;Compton;M;2008-01-09;6;1;3;20
264;Quendrida;Crerar;F;2011-09-25;3;1;3;123
265;Kyan;Lane;M;2012-09-04;2;0;0;88
266;Harmony;Keane;F;2012-03-23;2;0;2;29
267;Kasey;Bence;F;2011-03-07;3;1;1;51
268;Claude;Preston;M;2012-06-28;2;0;3;2
269;Randi;Dawkins;M;2008-03-15;6;1;2;8
270;Nicolas;Muir;M;2008-01-07;6;1;3;120
271;Eudora;Donaldson;F;2008-10-28;6;1;2;49
272;Roberta;Dodds;F;2013-12-14;1;0;3;65
273;Leanne;Dyson;F;2012-01-07;2;0;0;119
274;Patty;Cruddas;M;2012-03-05;2;0;1;54
275;Randolph;Baird;M;2008-12-08;6;1;2;110
276;Hugh;Reilley;M;2008-05-29;6;1;1;12
277;Geordie;Welsh;M;2012-03-11;2;0;1;76
278;Xavier;Beevers;M;2010-11-26;4;1;1;100
279;Dora;Quickenden;F;2013-12-01;1;0;2;13
280;Mallory;Montagu;F;2011-09-29;3;0;2;67
281;Kristen;Ward;F;2010-10-19;4;1;0;43
282;Oswald;Padfield;M;2008-05-19;6;1;0;100
283;Benjamin;Lillard;M;2013-10-21;1;0;0;90
284;Charla;Kovachik;F;2010-10-16;4;1;0;107
285;Stevie;Nolan;F;2010-02-15;4;1;0;35
286;Rathbone;Beeks;M;2011-09-25;3;1;2;26
287;Avis;Bratt;F;2007-03-14;7;1;0;69
288;Delaney;Cherrington;F;2012-12-19;2;0;2;81
289;Sarina;Hose;F;2008-01-11;6;1;2;5
290;Melvyn;Foxen;M;2009-06-27;5;1;0;86
291;Nehemiah;Meriwether;M;2010-10-17;4;1;0;28
292;Angel;Hembree;F;2013-10-21;1;0;1;9
293;Shania;Jenson;F;2007-05-08;7;1;0;61
294;Carlie;Kells;F;2008-04-20;6;1;0;91
295;Melissa;Underhill;F;2013-05-01;1;0;2;65
296;Leonard;Davison;M;2009-08-27;5;1;2;94
297;Toby;Winder;M;2010-02-16;4;1;3;38
298;Mercedes;Gawley;F;2009-01-14;5;1;3;55
299;Brynlee;Crooks;F;2009-02-27;5;1;2;107
300;Patrice;Rowland;F;2011-09-23;3;1;3;63
301;Alexandra;Stuttaford;F;2008-09-15;6;1;2;57
302;Nigel;Monyn;M;2012-05-16;2;0;2;58
303;Rex;Gregg;M;2008-12-13;6;1;3;0
304;Melvyn;Stanton;M;2011-06-24;3;1;1;66
305;Mariah;Culliford;F;2012-09-11;2;0;2;81
306;Drew;Oglethorpe;M;2013-08-28;1;0;0;40
307;Sunngifu;Quill;F;2010-04-07;4;1;3;27
308;Zane;O'Dell;M;2012-10-26;2;0;3;8
309;Kylie;Asher;F;2007-09-12;7;1;3;41
310;Walden;Hawker;M;2010-12-12;4;1;3;24
311;Irene;Gibbons;F;2008-04-23;6;1;2;83
312;Lindsay;Dann;M;2010-07-18;4;1;1;50
313;Joshua;Oliver;M;2007-06-20;7;1;3;2
314;Moira;Blackmore;F;2008-08-12;6;1;1;75
315;Melville;Rushforth;M;2010-08-14;4;1;2;38
316;Darlene;Speakes;F;2007-01-29;7;1;0;111
317;Adele;Moorhouse;F;2009-06-19;5;1;3;119
318;Logan;Neilson;M;2007-05-28;7;1;1;48
319;Yvonne;Jex-Blake;F;2008-12-09;6;1;1;83
320;Glenda;Potter;F;2007-03-01;7;1;0;69
321;Ernest;Moorhouse;M;2011-09-30;3;1;2;10
322;Jody;Vickers;F;2012-05-18;2;0;0;51
323;Robin;Tazewell;F;2012-01-22;2;0;0;63
324;Matthew;Greengard;M;2013-07-14;1;0;3;60
325;Victor;Bronson;M;2012-06-28;2;0;0;20
326;Flint;Riley;M;2010-10-30;4;1;3;22
327;Timmy;Millard;M;2009-07-26;5;1;2;40
328;Duke;Rothman;M;2007-04-23;7;1;1;84
329;Wells;Aynesworth;M;2010-03-31;4;1;1;104
330;Nevaeh;Gwatkin;F;2008-10-24;6;1;1;15
331;Cary;Basford;M;2012-03-10;2;0;0;60
332;Coraline;Towry;F;2009-07-15;5;1;0;27
333;Chas;Gardner;F;2012-05-22;2;0;0;19
334;Gwenda;Aldridge;F;2007-08-12;7;1;2;33
335;Hobart;Hartley;M;2009-03-17;5;1;3;82
336;Matthew;Woodson;M;2008-06-13;6;1;1;8
337;Sarah;Rothman;F;2008-05-19;6;1;1;101
338;Lorraine;Vail;F;2010-03-02;4;1;2;29
339;Giovanni;Jetton;M;2008-09-18;6;1;2;94
340;Etty;Horrocks;F;2008-07-02;6;1;1;7
341;Zak;Astley;M;2012-12-28;2;0;1;50
342;Carina;Stallworth;F;2008-01-21;6;1;0;65
343;Jake;Fuller;M;2007-08-21;7;1;2;40
344;Cyril;Creelman;M;2013-01-22;1;0;0;90
345;Ellen;Lively;F;2011-12-12;3;1;0;13
346;Richard;Waddilove;M;2011-05-09;3;1;0;6
347;Jayson;Portman;M;2011-10-21;3;1;3;88
348;Medea;Bone;F;2009-11-19;5;1;3;59
349;Alistair;Fielden;M;2007-11-22;7;1;1;16
350;Maude;Mayhall;F;2012-07-11;2;0;3;113
351;Jacqui;Hammond;F;2012-04-03;2;0;3;69
352;Ebony;Mayhew;F;2012-04-16;2;0;3;77
353;Kelly;Hearman;F;2007-01-19;7;1;3;111
354;Whitney;Herrington;F;2010-09-30;4;1;1;51
355;Sylvia;Forrest;F;2010-12-11;4;1;2;101
356;Jess;Tidwell;F;2011-11-19;3;1;0;17
357;Elora;Shovelton;F;2013-10-26;1;0;0;39
358;Kurt;Alborough;M;2008-01-06;6;1;0;14
359;Whitney;Stone;F;2007-12-18;7;1;0;125
360;Paddy;Maddison;F;2011-03-08;3;1;1;35
361;Tristan;Shorrock;M;2011-07-26;3;1;1;86
362;Cecil;Allsebrook;M;2010-05-04;4;1;1;12
363;Keith;Beal;M;2009-09-25;5;1;1;126
364;Chuck;Boone;M;2011-07-28;3;1;2;66
365;Kathy;Wellstone;F;2008-01-20;6;1;1;111
366;Jefferson;Barnardiston;M;2008-08-07;6;1;3;28
367;Burt;Forrest;M;2010-11-29;4;0;1;20
368;Sutton;Simmonds;F;2011-01-03;3;1;3;25
369;Jasper;Eady;M;2011-03-30;3;1;3;30
370;Bradley;Lewis;M;2009-07-16;5;1;3;62
371;Susan;Canfield;F;2013-08-06;1;0;3;115
372;Sadie;Bartram;F;2010-11-30;4;1;0;19
373;Erika;Fishlock;F;2013-08-10;1;0;2;3
374;Jaime;Richard;F;2011-09-30;3;1;2;67
375;Thelma;Henshaw;F;2009-12-14;5;1;1;25
376;Rathbone;Whipp;M;2007-06-11;7;1;0;34
377;Willy;Adkins;M;2009-11-25;5;1;3;110
378;Medea;Robbins;F;2009-01-01;5;1;0;61
379;Patrice;Battley;F;2007-08-11;7;1;3;43
380;Gabriel;Bignot;M;2009-02-24;5;1;2;60
381;Lee;Songhurst;F;2007-01-05;7;1;2;97
382;Sadie;Jinkins;F;2012-02-04;2;0;1;69
383;Velma;Everett;F;2007-11-25;7;1;0;23
384;Rathbone;Prindiville;M;2007-10-18;7;1;0;22
385;Bonnie;Preece;F;2013-06-02;1;0;0;41
386;Lois;Venables;F;2007-08-14;7;1;1;1
387;Nicodemus;Copeland;M;2008-04-25;6;1;3;114
388;Abe;Bostwick;M;2012-12-12;2;0;2;70
389;Candy;Akehurst;F;2013-09-12;1;0;3;27
390;Orlando;Hebb;M;2010-10-30;4;0;2;82
391;Chad;Waterfield;M;2009-08-29;5;1;0;70
392;Patrice;Ramsay;F;2008-02-20;6;1;2;29
393;Drew;Gotts;F;2007-01-04;7;1;0;119
394;Vilma;Harley;F;2008-05-14;6;1;3;101
395;Opal;Salter;F;2010-03-24;4;1;2;107
396;Rhonda;Richmond;F;2013-12-18;1;0;0;39
397;Nate;Froud;M;2011-12-20;3;1;2;98
398;Gemma;Gilmour;F;2010-06-11;4;1;1;105
399;Juliet;Chappell;F;2007-01-13;7;1;0;99
400;Jerry;Nickson;M;2011-02-13;3;1;1;16
401;Loraine;Venables;F;2012-01-04;2;0;1;33
402;Lanna;Taylor-Johnson;F;2011-03-24;3;1;2;61
403;Magnolia;Nichols;F;2012-04-05;2;0;3;109
404;Nathanael;Harrelson;M;2010-08-30;4;1;1;80
405;Kimble;Belchier;M;2011-10-06;3;1;2;10
406;Lorena;Woodville;F;2011-02-18;3;1;0;65
407;Jodie;Nealey;F;2012-10-24;2;0;0;37
408;Deanna;Rice;F;2009-03-04;5;1;3;33
409;Ned;Noakes;M;2008-11-13;6;1;3;108
410;Charlyne;Calladine;F;2011-04-19;3;1;0;21
411;Elle;Hind;F;2011-04-24;3;1;3;57
412;Harriet;Cunningham;F;2010-10-31;4;0;1;107
413;Aubrey;Watrous;F;2011-12-09;3;1;2;61
414;Joy;Goggin;F;2010-06-14;4;1;3;125
415;Albert;Orlebar;M;2009-09-06;5;1;1;2
416;Sibyl;Hayman;F;2010-07-25;4;1;1;101
417;Myron;Spurrier;M;2011-04-23;3;1;0;116
418;Pansy;Griffith;F;2008-03-13;6;0;2;15
419;Blake;Hardman;F;2010-11-05;4;1;0;85
420;Daenerys;Quelch;F;2007-04-09;7;1;2;49
421;Alanna;Clerk;F;2010-06-30;4;1;1;53
422;Antony;Workman;M;2010-12-18;4;1;0;72
423;Beau;Bellows;M;2007-05-01;7;1;0;28
424;Melvyn;Brackenridge;M;2007-08-16;7;1;0;114
425;Edwin;Lawrence;M;2010-10-05;4;1;3;122
426;Sandra;Hawkes;F;2011-02-22;3;1;3;123
427;Josephine;Salmons;F;2007-04-02;7;1;3;87
428;Darlene;Rundle;F;2012-07-15;2;0;3;69
429;Rembrandt;Darell;M;2010-05-30;4;1;3;84
430;Carol Ann;Runcie;F;2011-09-24;3;1;3;5
431;Damon;Lord;M;2008-05-03;6;1;1;12
432;Darren;Carr;M;2008-02-11;6;1;2;14
433;Claudia;Willard;F;2010-07-21;4;1;0;103
434;Linus;Clitheroe;M;2008-12-30;6;1;0;52
435;Maxine;Cooksey;F;2013-09-05;1;0;0;109
436;Dutton;Hurley;M;2007-02-25;7;1;2;88
437;Kyra;Howorth;F;2011-12-01;3;0;2;71
438;Narcissa;McCauley;F;2008-09-06;6;1;2;5
439;Jared;Tyler;M;2007-10-18;7;1;0;66
440;Simone;Philips;F;2007-07-09;7;1;0;31
441;Bobby;Dover;F;2010-07-01;4;1;0;47
442;Keith;Lennon;M;2010-09-25;4;1;3;102
443;Dana;Mischke;F;2010-07-13;4;1;0;47
444;Martina;Pilgrim;F;2010-08-19;4;1;3;75
445;Myrna;Richard;F;2010-03-06;4;1;2;15
446;Jodi;Jacklin;F;2008-02-04;6;1;1;69
447;Smith;Leighton;M;2007-07-21;7;1;2;10
448;Charisse;Firth;F;2010-12-21;4;1;1;71
449;Addison;Gregg;M;2009-11-09;5;1;3;60
450;Dwayne;Leach;M;2008-01-07;6;1;3;16
451;Louise;Pettitt;F;2008-09-17;6;1;0;101
452;Griffin;Schreider;M;2008-09-12;6;1;0;120
453;Zayden;Maddox;M;2011-07-08;3;1;1;8
454;Gunner;Swynnerton;M;2010-12-02;4;1;2;40
455;Sierra;Homewood;F;2013-06-23;1;0;3;71
456;Priscilla;Ranford;F;2013-04-23;1;0;3;81
457;Tamara;Doncaster;F;2012-05-31;2;0;3;87
458;Jolyon;Doncaster;M;2009-11-11;5;1;2;66
459;Maggie;Lively;F;2008-07-30;6;1;0;105
460;Kaden;Ridgeway;M;2007-10-22;7;1;1;104
461;Ronnie;Giffey;M;2008-02-04;6;1;2;126
462;Emma;Willard;F;2009-08-06;5;1;2;29
463;Woodruff;Elwes;M;2011-01-27;3;1;3;74
464;Kim;Aiken;M;2008-05-09;6;1;0;96
465;Matilda;Norrington;F;2007-08-17;7;1;3;75
466;Lorraine;Burre;F;2013-02-01;1;0;1;87
467;Autumn;Partridge;F;2012-05-23;2;0;3;91
468;January;Sandridge;F;2008-02-19;6;0;3;35
469;Bartholomew;Glasco;M;2008-07-23;6;1;3;114
470;Stacy;Hobbs;F;2010-12-17;4;1;2;91
471;Kelvin;Dann;M;2008-03-26;6;1;2;82
472;Sean;Woolford;M;2008-01-08;6;0;3;96
473;Arthur;Strahorn;M;2013-07-23;1;0;3;4
474;Alexis;Mousley;F;2008-10-27;6;1;3;101
475;Mehitable;Rowan;F;2011-08-22;3;1;1;1
476;Domenic;Robertson;M;2012-10-04;2;0;1;52
477;Julien;Walmsley;M;2010-12-05;4;1;1;122
478;Helen;Garner;F;2010-03-16;4;1;0;33
479;Gord;Downer;M;2009-07-02;5;1;3;54
