id;name;surname;gender;date_of_birth;year;hogsmeade_consent;house_id;dormitory_id
35;Rory;Freeman;M;2008-06-25;6;1;0;10
36;Burt;Rex;M;2009-01-01;5;1;0;7
37;Samuel;Amory;M;2013-11-09;1;0;3;81
38;Yvette;Sedgemore;F;2007-11-19;7;1;2;78
39;Dutton;Jayes;M;2011-04-14;3;1;0;2
40;Nathan;Compton;M;2007-03-14;7;1;0;11
41;Sid;McCloud;M;2012-05-13;2;0;2;56
42;Solomon;Huxtable;M;2009-05-10;5;1;2;60
43;Trevor;Weaving;M;2010-02-13;4;1;0;5
44;Louella;Adley;F;2007-03-04;7;1;3;103
45;Anna;Arliss;F;2012-02-25;2;0;0;16
46;Felix;Parkins;M;2010-12-25;4;1;3;88
47;Leroy;Higginbotham;M;2012-05-11;2;0;1;28
48;Gaylord;Horner;M;2012-03-25;2;0;2;56
49;Gene;Aylesworth;M;2009-04-28;5;1;2;61
50;Muriel;Dobb;F;2013-02-19;1;0;0;13
51;Rodger;Pratt;M;2011-05-18;3;1;0;2
52;Emily;Shepherd-Barron;F;2012-02-01;2;0;2;68
53;Anthony;Paul;M;2010-07-05;4;1;1;31
54;Josiah;Daw;M;2012-12-13;2;0;0;1
55;Venus;Peach;F;2010-06-02;4;1;1;47
56;Kay;Amberg;F;2012-02-16;2;0;3;94
57;Ramsey;Whelan;M;2010-07-13;4;1;3;88
58;Lara;Tidy;F;2008-09-26;6;1;1;50
59;Sandi;Randolph;F;2013-07-18;1;0;2;66
60;Aubrey;Clower;F;2008-03-05;6;1;2;77
61;Julianne;Elliot;F;2008-06-22;6;1;0;21
62;Mara;Bowes;F;2008-08-03;6;1;1;50
63;Astrid;Keenum;F;2012-04-13;2;0;3;95
64;Sarina;Welliver;F;2008-07-06;6;1;3;101
65;Romilda;Oughtred;F;2010-12-30;4;1;3;97
66;Florence;Fountaine;F;2011-12-15;3;1;1;45
67;Montgomery;Thorn;M;2010-04-30;4;1;3;89
68;Eversley;Barnett;M;2012-09-11;2;0;3;85
69;Saul;Whitelaw;M;2010-11-06;4;1;3;89
70;Melvin;Ramsey;M;2009-11-01;5;1;1;33
71;Darvin;Carrell;M;2010-10-18;4;1;0;4
72;Cari;Card;F;2010-02-05;4;1;3;97
73;Karl;Godwin;M;2011-08-26;3;1;1;29
74;Barb;Mefford;F;2013-08-02;1;0;2;67
75;Connor;Duffy;M;2007-07-18;7;1;1;38
76;Jedediah;Padfield;M;2009-08-01;5;1;0;6
77;Emil;Buckler;M;2010-04-20;4;1;0;5
78;Jacqui;Longfield;F;2012-09-18;2;0;2;68
79;Laurel;Cust;F;2010-10-09;4;1;0;18
80;Naila;Hart;F;2013-08-31;1;0;2;65
81;Beresford;Whelan;M;2013-04-30;1;0;0;0
82;Brianna;Simons;F;2013-08-25;1;0;2;66
83;Liam;Atlee;M;2009-11-11;5;1;0;8
84;Ethan;Appleyard;M;2008-02-27;6;1;0;9
85;Mary Belle;Lester;F;2008-08-31;6;1;2;76
86;Matthias;Digby;M;2007-11-24;7;1;0;11
87;Isidore;Zeal;M;2011-03-05;3;1;0;2
88;Charmaine;Hayles;F;2009-07-20;5;1;3;100
89;Dwayne;Lennon;M;2008-10-07;6;1;1;36
90;Gamaliel;Bridges;M;2010-03-05;4;1;3;88
91;Shawn;Kirkland;M;2013-01-03;1;0;1;26
92;Cwichelm;Tebbetts;M;2008-11-08;6;1;0;9
93;McKenna;Lang;F;2008-03-18;6;1;2;77
94;Reynold;Irish;M;2010-05-05;4;1;2;59
95;Kyan;Gates;M;2013-12-06;1;0;1;26
96;Muriel;Holt;F;2012-11-27;2;0;0;16
97;Corey;Siviter;M;2010-12-25;4;1;1;31
98;Helene;Tomlin;F;2013-04-06;1;0;3;93
99;Will;Higham;M;2009-07-05;5;1;0;8
100;Patience;Dunne;F;2007-05-21;7;1;1;52
101;Charity;Virgo;F;2013-02-19;1;0;1;40
102;Janee;Michelmore;F;2012-10-28;2;0;0;16
103;Nicole;Ramsey;F;2010-11-02;4;1;3;97
104;Ash;Stephenson;F;2013-03-08;1;0;3;93
105;Eva;Greene;F;2012-02-05;2;0;1;42
106;Charly;Farebrother;F;2013-12-08;1;0;2;65
107;Mayola;Mullen;F;2011-03-25;3;1;2;69
108;Jodie;Coon;F;2011-01-15;3;1;1;44
109;Mary Belle;Engineer;F;2012-08-28;2;0;1;43
110;Vincent;Lapthorne;M;2011-07-25;3;1;0;3
111;Kylie;Toop;F;2013-03-15;1;0;2;66
112;Archie;Westgate;M;2011-10-03;3;1;2;57
113;Chris;Hamerton;M;2008-10-26;6;1;2;63
114;Marianne;Whiting;F;2010-12-27;4;1;1;46
115;Monty;Wilkins;M;2013-07-16;1;0;3;83
116;Sigmund;Umpleby;M;2010-09-06;4;1;2;59
117;Jackson;Batts;M;2011-11-30;3;0;1;29
118;Gaylord;Underwood;M;2013-02-14;1;0;1;26
119;Ronald;Thaxter;M;2012-09-26;2;0;1;28
120;Isaiah;Bettridge;M;2008-03-12;6;1;3;91
121;Newt;Pattinson;M;2010-11-01;4;1;0;4
122;Vilma;Milnes;F;2013-04-06;1;0;0;13
123;Billy;Heaton;M;2013-03-02;1;0;3;83
124;Jaden;Roth;M;2009-12-01;5;1;3;90
125;Marta;Brimson;F;2012-09-21;2;0;0;16
126;Jonty;Reston;M;2012-05-05;2;0;3;84
127;Cora;Alden;F;2008-04-16;6;1;3;102
128;Jasper;Morgan;M;2013-04-18;1;0;0;0
129;Kathleen;Tinnin;F;2013-07-19;1;0;3;93
130;Beatrice;Doran;F;2010-09-10;4;1;2;71
131;Pixie;Painter;F;2008-03-19;6;1;0;21
132;Coral;Lumpkins;F;2013-02-03;1;0;2;65
133;Nathalie;Randlett;F;2007-08-27;7;1;1;52
134;Colette;Elliot;F;2012-10-25;2;0;2;68
135;Evelyn;Pastor;M;2013-02-08;1;0;0;0
136;Ronnie;Gayford;F;2011-03-09;3;1;2;70
137;Blake;Collings;F;2009-02-07;5;1;1;48
138;Stan;Engleman;M;2010-07-06;4;1;0;5
139;Ford;Andrew;M;2011-02-08;3;1;0;3
140;Ross;Charles;M;2013-07-11;1;0;1;26
141;Taylor;Dover;F;2011-08-31;3;1;0;17
142;Jeanie;Patrick;F;2010-02-02;4;1;0;18
143;Cletus;Hynes;M;2012-08-20;2;0;2;56
144;Dennis;Blake;M;2012-07-18;2;0;1;28
145;Patience;Simpson;F;2009-02-22;5;1;3;100
146;Carlton;Jayes;M;2008-03-09;6;1;1;36
147;Marianne;Logan;F;2008-08-04;6;1;3;101
148;Freddy;Fairfax;M;2011-11-19;3;1;0;2
149;Posy;Sturgess;F;2011-02-11;3;1;2;69
150;Evan;Sayles;M;2010-06-03;4;1;0;4
151;Dane;Wick;M;2008-11-16;6;1;2;62
152;Carlie;Barrett;F;2009-09-19;5;1;0;20
153;Vivian;Balfe;M;2013-06-03;1;0;0;0
154;Randi;Myddelton;M;2008-08-29;6;1;2;63
155;Ace;George;M;2011-05-25;3;1;1;29
156;Tigerlily;Finley;F;2010-02-03;4;1;0;18
157;Sharleen;Thruston;F;2012-02-13;2;0;0;16
158;Sky;Warne;F;2011-09-16;3;1;1;44
159;Gideon;Ridgway;M;2009-03-01;5;1;1;33
160;Francine;Golden;F;2012-04-14;2;0;2;68
161;Claudia;Parker;F;2013-11-29;1;0;2;65
162;Beatrix;Wolfe;F;2010-08-13;4;1;2;71
163;Effie;Bronson;F;2013-06-21;1;0;1;40
164;Kenneth;Bye;M;2007-10-08;7;1;1;38
165;Jake;Gable;M;2013-11-29;1;0;3;83
166;Valentine;Colwell;M;2009-11-11;5;1;2;61
167;Louella;Greenbury;F;2013-02-03;1;0;1;40
168;Pansy;Gulliver;F;2011-04-03;3;1;3;96
169;Karyne;Watkin;F;2012-06-27;2;0;1;43
170;Samuel;Acres;M;2011-04-15;3;1;2;57
171;Jesse;Cooksey;M;2012-04-09;2;0;3;84
172;Caden;Maxwell;F;2008-06-22;6;1;0;21
173;Aubrey;Webster;F;2011-02-22;3;1;3;96
174;Sienna;Whiffen;F;2011-07-12;3;1;0;17
175;Brian;Tilley;M;2009-08-28;5;1;2;61
176;Nick;Blackie;M;2012-01-23;2;0;1;28
177;Dimity;Fearon;F;2007-02-24;7;1;0;24
178;Jerome;Waterfield;M;2012-06-20;2;0;3;84
179;Zeph;Waterhouse;M;2007-04-01;7;1;1;39
180;Clark;Holder;M;2010-02-08;4;1;3;89
181;Maurice;Battye;M;2011-09-11;3;1;3;87
182;Bridget;Beverly;F;2009-07-16;5;1;1;49
183;Davy;Deacon;M;2008-09-12;6;1;1;35
184;Jack;Alan;M;2012-10-27;2;0;0;1
185;Lorena;Connery;F;2009-04-15;5;1;1;48
186;Leanne;Bestall;F;2007-11-29;7;1;1;52
187;Heidi;Culliford;F;2013-05-23;1;0;2;67
188;Nicola;Blessitt;F;2011-04-02;3;1;2;70
189;Irma;Besley;F;2008-02-17;6;1;3;102
190;Hubert;Laidley;M;2010-02-17;4;1;0;4
191;Gwendoline;Barnfather;F;2008-05-08;6;1;0;21
192;Nick;Yonge;M;2011-02-18;3;1;3;87
193;Holly;Qualls;F;2013-03-06;1;0;1;40
194;Medea;Noe;F;2007-07-22;7;1;0;25
195;Elmer;Simons;M;2008-12-03;6;1;0;9
196;Howard;Frye;M;2010-10-20;4;1;3;89
197;Sebastian;Rakestraw;M;2009-07-21;5;1;2;60
198;Fabienne;Kovacevich;F;2010-03-26;4;1;2;72
199;Chazz;Cross;M;2012-06-03;2;0;1;28
200;Cecil;Delf;M;2010-03-28;4;1;0;5
201;Syd;Boyce;M;2010-12-22;4;1;1;30
202;Lauretta;Dickenson;F;2013-05-18;1;0;1;40
203;Morty;Corrie;M;2009-12-26;5;1;2;60
204;Richie;Hallman;M;2011-09-25;3;1;1;29
205;Zak;Seaborn;M;2007-03-30;7;1;2;64
206;Simon;Babcock;M;2012-03-14;2;0;0;1
207;Jeff;Stockwell;M;2013-08-15;1;0;2;55
208;Loraine;Crisfield;F;2007-12-21;7;1;3;103
209;Sandra;Claydon;F;2010-05-03;4;1;1;47
210;Corey;Barlow;M;2011-04-20;3;1;1;29
211;Jess;Malghum;M;2013-08-05;1;0;1;27
212;Bram;Tebbetts;M;2013-02-14;1;0;1;26
213;Wes;Bottrill;M;2011-06-10;3;1;1;29
214;Adrian;Thubron;M;2009-01-16;5;1;1;33
215;Nathaniel;Nicholls;M;2008-12-09;6;1;1;35
216;Kitty;Colegrove;F;2013-02-06;1;0;2;67
217;Jet;Beckley;M;2008-10-26;6;1;3;91
218;Palmer;Hutchison;M;2013-10-31;1;0;1;27
219;Jackson;Dickinson;M;2008-09-28;6;1;0;9
220;Gladys;Topp;F;2007-03-22;7;1;1;52
221;Naila;Arterton;F;2013-10-27;1;0;0;15
222;Gwen;Engleman;F;2007-07-25;7;1;3;103
223;Herschel;Dann;M;2012-12-31;2;0;2;56
224;Tammy;Hitchens;F;2010-05-22;4;1;2;71
225;Jordan;Sparrow;M;2007-07-01;7;1;0;11
226;Matilda;Ambler;F;2013-12-12;1;0;1;40
227;Moses;Walmsley;M;2010-06-26;4;1;2;59
228;Laurence;Lane Fox;M;2009-07-23;5;1;1;33
229;Laurel;Merchant;F;2012-03-15;2;0;0;16
230;Dominic;Moat;M;2011-02-01;3;0;1;29
231;Mehitable;Kelly;F;2009-06-26;5;1;0;19
232;Adora;Parkes;F;2007-03-31;7;1;1;52
233;Dougie;Lethbridge;M;2008-12-03;6;1;1;35
234;Spencer;Ratcliffe;M;2013-07-16;1;0;2;54
235;Hilary;Cathcart;F;2008-07-25;6;1;1;50
236;Regina;Burney;F;2013-06-04;1;0;0;13
237;Paige;Gibbs;F;2009-05-12;5;1;0;20
238;Alexa;Greasley;F;2009-08-12;5;1;1;49
239;Miranda;Hynes;F;2011-06-23;3;1;0;17
240;Carlile;Beckinsale;M;2008-05-07;6;1;0;9
241;Dwayne;Weir;M;2007-09-13;7;1;0;11
242;Emery;Skinner;M;2009-06-06;5;1;1;33
243;Conway;Byron;M;2009-07-04;5;1;0;8
244;Francie;Dowdeswell;F;2010-03-01;4;1;1;47
245;Babette;Moorhouse;F;2012-07-14;2;0;3;95
246;Colette;Wordsworth;F;2008-02-21;6;1;1;50
247;Rudy;Hayles;M;2013-12-26;1;0;3;81
248;Wilmon;Skeete;M;2011-04-30;3;1;3;87
249;Jemmy;Gilbert;M;2008-04-09;6;1;3;91
250;Lydia;Woodward;F;2009-06-21;5;1;1;48
251;Alex;Penland;M;2009-09-04;5;1;0;6
252;Henry;Penington;M;2012-01-04;2;0;1;28
253;Gerard;Edmunds;M;2010-12-04;4;1;1;31
254;Kirsteen;Irish;F;2007-02-18;7;1;0;25
255;Noel;Dyer;M;2013-02-13;1;0;0;0
256;Mary;Dowden;F;2007-01-23;7;1;3;103
257;Booth;Lucey;M;2010-11-23;4;1;3;89
258;Ramsey;Beal;M;2008-08-04;6;1;0;9
259;Lauretta;Arbour;F;2007-01-21;7;1;3;104
260;Talitha;Hazell;F;2008-10-15;6;1;0;22
261;Osbert;Tyndall;M;2012-02-23;2;0;3;85
262;Joy;Cockerell;F;2012-06-14;2;0;1;41
263;Alyson;Horton;F;2013-10-05;1;0;1;40
264;Addison;Dixon;M;2007-10-20;7;1;1;39
265;Braden;Bray;F;2011-08-04;3;1;2;70
266;Ulysses;Cherrington;M;2013-12-24;1;0;3;82
267;Tommy;Meriweather;M;2011-09-24;3;1;1;29
268;Naomi;Phillips;F;2012-12-10;2;0;3;94
269;Nathanael;Weller;M;2011-06-16;3;1;0;2
270;Viola;Bligh;F;2009-02-12;5;1;2;74
271;Laurens;Leftwich;M;2009-12-24;5;1;3;90
272;Rose;Parkins;F;2011-05-29;3;1;2;70
273;Cherry;Wallis;F;2010-09-01;4;0;0;18
274;Iona;Bloomer;F;2011-09-23;3;1;3;96
275;Claribel;Kaye;F;2009-06-24;5;1;1;48
276;Jackie;Cochrane;M;2007-07-07;7;1;0;11
277;Gwendolyn;Upton;F;2013-08-04;1;0;3;93
278;Napoleon;Knickerbocker;M;2010-09-06;4;1;2;59
279;Hervey;Dyer;M;2013-03-12;1;0;1;26
280;Dicky;Beckett;M;2012-07-31;2;0;3;84
281;Joey;Dowdall;M;2009-05-24;5;1;1;33
282;Noel;Edgar;M;2013-12-08;1;0;2;55
283;Michelle;Newman;F;2013-03-31;1;0;2;66
284;Joyce;Seton-Watson;F;2007-10-25;7;1;3;104
285;Eugene;Sergeant;M;2008-04-01;6;1;1;36
286;Tommy;Whitaker;M;2013-05-27;1;0;2;55
287;Richie;Cunningham;M;2007-07-03;7;1;2;64
288;Ev;Lane Fox;M;2010-02-18;4;1;0;5
289;Randolph;Bowyer;M;2012-07-20;2;0;3;84
290;Archie;Morehouse;M;2011-12-17;3;1;2;57
291;Krista;Teed;F;2011-06-12;3;1;2;70
292;Sharon;Ferko;F;2009-02-14;5;0;3;100
293;Mark;Berwick;M;2011-11-29;3;1;2;57
294;Imelda;Wind;F;2010-12-08;4;1;0;18
295;Gilbert;Turnbull;M;2013-11-04;1;0;1;27
296;Damian;Ball;M;2009-12-27;5;1;3;90
297;Job;Huxley;M;2013-02-08;1;0;0;0
298;Bud;Bow;M;2010-05-02;4;1;2;59
299;Marina;Rainforth;F;2012-10-02;2;0;3;94
300;Doug;Hutchison;M;2008-05-30;6;1;3;91
301;Charl;Gregson;M;2009-02-15;5;1;0;8
302;Winston;Dunlop;M;2011-03-27;3;1;0;2
303;Wyatt;Cownie;M;2010-04-08;4;1;1;30
304;Des;Bramble;M;2007-09-08;7;1;2;64
305;Petrina;Cadman;F;2007-08-04;7;1;1;52
306;Angella;Dear;F;2008-06-10;6;1;2;77
307;Kimberly;Houseman;F;2008-03-22;6;1;1;51
308;Jay;Hurndall;M;2013-06-12;1;0;2;55
309;Babette;Vann;F;2007-02-09;7;1;1;52
310;Craig;Slaight;M;2013-11-16;1;0;3;81
311;Regina;Bertles;F;2013-06-18;1;0;0;14
312;Lana;Claydon;F;2012-06-16;2;0;0;16
313;Jess;Klayman;M;2011-03-13;3;1;1;29
314;Davis;Ivens;M;2013-02-21;1;0;3;82
315;Cody;Hallman;F;2010-11-25;4;1;3;99
316;Wilma;Pennington;F;2008-01-05;6;1;0;22
317;Jack;Wilson;F;2009-09-24;5;1;2;75
318;Ramsey;Watts;M;2013-04-09;1;0;1;26
319;Tyra;Clopton;F;2012-12-21;2;0;2;68
320;Milo;Yelling;M;2011-12-01;3;1;1;29
321;Jodi;Catesby;F;2011-02-07;3;1;1;45
322;Sasha;Nash;F;2010-06-19;4;1;2;72
323;Eleanor;Goodman;F;2010-12-08;4;1;3;99
324;Mae;Chandler;F;2010-10-10;4;0;1;47
325;Tonya;Whiteway;F;2011-12-28;3;1;0;17
326;Cary;Myrick;F;2009-11-20;5;1;3;100
327;Blake;Pitzen;M;2010-03-12;4;1;0;5
328;Maxine;Hewson;F;2009-11-07;5;1;1;49
329;Heath;Liddell;M;2011-05-20;3;1;0;3
330;Shawn;Rice;M;2007-03-26;7;1;2;64
331;Becki;Stark;F;2008-09-01;6;1;1;50
332;Jet;Coyle;M;2013-08-11;1;0;1;26
333;Nettie;Pride;F;2010-04-27;4;1;3;99
334;Lindy;Spicer;F;2009-11-16;5;1;2;73
335;Alan;Bigwood;M;2011-11-15;3;1;1;29
336;Cardew;Nettlefold;M;2012-09-01;2;0;0;1
337;Chucky;Noe;M;2007-10-12;7;1;1;39
338;Madison;Storey;M;2012-07-23;2;0;0;1
339;Risa;Pickett;F;2007-11-20;7;1;2;78
340;Ingrid;Gardner;F;2009-03-30;5;1;1;49
341;Joyce;Farmer;F;2007-07-22;7;1;3;104
342;Fred;Scrubb;M;2010-06-18;4;1;0;5
343;Carson;Batt;F;2010-04-17;4;1;0;18
344;Scott;Stott;M;2012-10-18;2;0;3;85
345;Tara;Keate;F;2008-04-01;6;1;2;76
346;Mort;Letchford;M;2009-12-31;5;1;1;34
347;Laurie;Hutchison;M;2012-07-10;2;0;2;56
348;Brock;Berker;M;2009-01-24;5;1;2;60
349;Suzanne;MacGorman;F;2007-07-16;7;1;1;52
350;Alisha;Cleland;F;2011-07-06;3;1;1;44
351;Nathan;Tanner;M;2008-04-15;6;1;1;35
352;Joyce;Deller;F;2011-01-26;3;1;3;96
353;Colton;Bird;M;2012-12-22;2;0;3;85
354;Sharla;Bellingham;F;2011-08-10;3;1;2;69
355;Ephrem;Worthington;M;2009-05-31;5;1;1;33
356;Richie;Batts;M;2009-05-18;5;1;1;34
357;Wilhelm;Holliday;M;2012-12-17;2;0;0;1
358;Yancy;Skaife;M;2012-12-02;2;0;0;1
359;Gertie;Horden;F;2012-07-22;2;0;1;41
360;Kaylee;Giles;F;2010-06-04;4;1;2;71
361;Sarah;Linton;F;2012-12-31;2;0;1;41
362;Lilla;Bradshaw;F;2012-12-31;2;0;3;95
363;Lillian;Atlee;F;2010-06-10;4;1;3;97
364;Juno;Stackhouse;M;2012-08-07;2;0;2;56
365;Enid;Querrey;F;2008-08-29;6;1;3;102
366;Aidin;Dargie;M;2010-11-20;4;1;0;4
367;Chuck;Lawrence;M;2011-02-10;3;1;1;29
368;Doug;Spencer-Churchill;M;2012-10-09;2;0;1;28
369;Cyril;Roylance;M;2010-09-04;4;1;0;5
370;Lacey;Buckmaster;F;2013-12-27;1;0;3;93
371;Jeffery;Crisp;M;2009-01-26;5;1;2;60
372;Calla;Ingham;F;2012-12-26;2;0;2;68
373;Vic;Sydney;M;2008-11-26;6;1;2;63
374;Shania;Lyle;F;2007-06-30;7;1;2;78
375;Jay;Hearman;M;2007-12-18;7;1;3;92
376;Bernie;Whitfield;M;2009-03-23;5;1;2;60
377;Stewart;Grenville;M;2007-07-25;7;1;1;39
378;Ash;Walton;F;2011-09-11;3;1;3;96
379;Peleg;Maxwell;M;2009-11-29;5;1;3;90
380;Tiffany;Allsebrook;F;2010-06-09;4;1;0;18
381;Curtis;Tylecote;M;2011-02-19;3;1;1;29
382;Laidman;Wind;M;2010-04-10;4;1;1;31
383;Daphne;Hefley;F;2009-10-29;5;1;3;100
384;Shane;Shearman;M;2008-03-03;6;1;3;91
385;Celestia;Trull;F;2008-03-11;6;1;3;101
386;Albina;Brazier;F;2012-10-07;2;0;1;42
387;Marcie;Jeal;F;2010-10-10;4;1;2;72
388;Wilf;Lancaster;M;2013-05-05;1;0;3;83
389;Gregory;Arterton;M;2011-06-09;3;1;3;86
390;Finn;Harsent;F;2008-04-27;6;1;2;77
391;Maude;Dunn;F;2009-08-01;5;1;2;73
392;Austen;McCauley;M;2008-05-14;6;1;3;91
393;Stevie;Parkes;F;2013-02-01;1;0;2;65
394;Garth;Smart;M;2012-05-10;2;0;3;84
395;Horace;Exton;M;2013-05-02;1;0;3;82
396;Laurie;Wilk;F;2009-06-30;5;1;3;100
397;Joey;Masters;M;2013-05-14;1;0;0;0
398;Deanna;Braceful;F;2007-01-12;7;1;2;78
399;Hilary;Ginger;F;2009-03-29;5;1;0;20
400;Sydney;Bottrill;F;2012-01-28;2;0;3;95
401;Des;Walton;M;2011-11-08;3;1;2;58
402;Bubba;Torbett;M;2007-12-17;7;1;0;11
403;Darren;Baynton;M;2010-06-28;4;1;3;89
404;Vanessa;Pateman;F;2011-03-01;3;1;0;17
405;Margo;Lea;F;2009-11-20;5;1;2;75
406;Clara;Fort;F;2007-01-13;7;1;1;52
407;Booth;Pontifex;M;2007-02-26;7;1;2;64
408;Elora;Critchell;F;2008-09-11;6;1;0;21
409;Colby;Hearnshaw;M;2012-06-23;2;0;1;28
410;Gale;Ferrier;M;2013-06-02;1;0;3;82
411;Kailey;Babbs;F;2012-06-16;2;0;3;95
412;Simone;Stairs;F;2008-10-27;6;1;3;102
413;Edgar;Hallam;M;2011-02-21;3;1;3;87
414;Nevaeh;Finley;F;2008-09-25;6;1;2;77
415;Bertha;McCain;F;2007-07-28;7;1;2;80
416;Jensen;Stark;F;2011-08-03;3;1;0;17
417;Damon;Dunn;M;2009-01-07;5;1;1;34
418;Patrice;Amos;F;2008-01-08;6;1;1;50
419;Ethan;Merritt;M;2013-09-07;1;0;0;0
420;Allan;Haycraft;M;2010-04-22;4;1;0;4
421;Gunner;Croucher;M;2011-12-31;3;1;2;57
422;Regina;Leatherbarrow;F;2010-04-19;4;1;1;46
423;August;Laster;M;2008-11-23;6;1;1;36
424;Chelsea;Yarranton;F;2012-09-29;2;0;0;16
425;Ethan;Crowell;M;2013-04-26;1;0;0;0
426;Ed;Aldred;M;2010-05-28;4;1;3;89
427;Lincoln;Tinsley;M;2013-04-23;1;0;1;27
428;Charlyne;Dy;F;2008-01-16;6;1;1;50
429;Lucy;Thomson;F;2007-07-24;7;1;0;23
430;Eric;Lister;M;2013-05-25;1;0;1;27
431;Wanda;Cockerell;F;2009-05-17;5;1;0;20
432;Stefan;Lively;M;2008-11-30;6;1;1;35
433;Courtney;Carleton;F;2010-09-28;4;1;2;71
434;Theodore;Rykener;M;2011-03-26;3;1;3;86
435;Carissa;Goff;F;2009-07-10;5;1;1;49
436;Mitchell;Alger;M;2010-04-27;4;0;0;4
437;Edd;Moore-Bick;M;2012-08-27;2;0;1;28
438;Donald;Clutter;M;2011-01-22;3;1;2;58
439;Tori;Perch;F;2011-11-25;3;1;3;96
440;Zeb;Hampson;M;2009-11-26;5;1;1;34
441;Lori;Blair;F;2011-06-07;3;1;0;17
442;Duane;Needham;M;2010-09-08;4;1;0;4
443;Laidman;Ackroyd;M;2007-10-05;7;1;1;37
444;Canute;Lamphere;M;2012-08-20;2;0;3;84
445;Jolie;Waugh;F;2013-05-24;1;0;2;65
446;Isabella;Conlee;F;2010-10-21;4;1;1;47
447;Denise;Wolryche;F;2012-07-07;2;0;3;95
448;Sophie;Ashley;F;2011-02-14;3;1;3;96
449;Zeph;Heathcoat-Amory;M;2011-08-01;3;1;1;29
450;Leila;Heselton;F;2007-09-24;7;1;2;80
451;Julian;Jeffery;M;2010-08-30;4;1;0;4
452;Dawn;James;F;2010-11-21;4;0;0;18
453;Ted;Flowers;M;2013-04-02;1;0;0;0
454;Charley;Sproson;M;2012-10-30;2;0;0;1
455;Fabienne;Blair;F;2009-02-06;5;1;1;48
456;Janie;Harman;F;2009-09-21;5;1;1;49
457;Grace;Heron;F;2009-01-11;5;1;2;73
458;Davy;McClain;M;2012-11-19;2;0;2;56
459;Emerald;Brabin;F;2012-01-12;2;0;0;16
460;Elmer;Pontifex;M;2011-10-17;3;1;2;57
461;Zayden;Harrelson;M;2011-12-31;3;1;0;3
462;Chadwick;Oxenham;M;2012-03-04;2;0;0;1
463;Carmelita;Eagleman;F;2010-06-06;4;1;0;18
464;Velma;Greeson;F;2009-12-24;5;1;1;48
465;Hunter;Bow;M;2013-08-11;1;0;0;0
466;Abraham;Lines;M;2012-07-25;2;0;2;56
467;Lyndon;Glancey;M;2012-10-29;2;0;1;28
468;Juno;Sheppard;M;2009-04-27;5;1;1;34
469;Karlene;Hadaway;F;2007-03-27;7;1;1;52
470;Nestor;Beaton;M;2012-11-17;2;0;1;28
471;Rupert;Luckham;M;2008-05-07;6;1;3;91
472;Maud;Gayford;F;2010-09-02;4;1;1;46
473;Kane;Pegler;M;2009-05-25;5;1;3;90
474;Norman;Besley;M;2011-01-21;3;1;0;3
475;Loretta;Butterworth;F;2007-04-22;7;1;1;52
476;Persis;Mileham;F;2011-04-24;3;1;0;17
477;Brianna;Meggott;F;2013-12-28;1;0;0;14
478;Georgie;Clutter;F;2008-09-03;6;1;2;76
479;Melville;Carr-Gomm;M;2007-08-31;7;1;2;64
480;James;Nicolson;M;2012-01-15;2;0;2;56
